mm_scATAC_peak_70631,Mir5114
mm_scATAC_peak_141923,Gpc4
mm_scATAC_peak_115778,4930417O13Rik
mm_scATAC_peak_18350,Abca13
mm_scATAC_peak_85499,P2ry1
mm_scATAC_peak_89029,Slc44a3
mm_scATAC_peak_6376,Syt2
mm_scATAC_peak_56651,Arid1b
mm_scATAC_peak_131881,Slc38a8
mm_scATAC_peak_29994,Egln3
mm_scATAC_peak_60226,Cul7
mm_scATAC_peak_56518,C2cd2
mm_scATAC_peak_139050,Traip
mm_scATAC_peak_43941,Bnip3l
mm_scATAC_peak_4434,Armc9
mm_scATAC_peak_55177,Filip1l
mm_scATAC_peak_132993,Pdgfd
mm_scATAC_peak_13512,Gm31763
mm_scATAC_peak_62676,Adcyap1
mm_scATAC_peak_142127,Gpr101
mm_scATAC_peak_87113,Tdpoz1
mm_scATAC_peak_103531,Gm5868
mm_scATAC_peak_31084,Ppp2r5e
mm_scATAC_peak_82689,Zfp831
mm_scATAC_peak_96844,Zfp362
mm_scATAC_peak_129686,Calr
mm_scATAC_peak_55205,Dcbld2
mm_scATAC_peak_34859,Rala
mm_scATAC_peak_103839,Spink2
mm_scATAC_peak_15868,Ppp1r12a
mm_scATAC_peak_77748,Hipk3
mm_scATAC_peak_73382,Obp2b
mm_scATAC_peak_62905,Zeb1
mm_scATAC_peak_105245,Gak
mm_scATAC_peak_30533,Mdga2
mm_scATAC_peak_28766,1700030C10Rik
mm_scATAC_peak_81682,Matn4
mm_scATAC_peak_81621,Pkig
mm_scATAC_peak_55334,Cggbp1
mm_scATAC_peak_97028,Tmem39b
mm_scATAC_peak_87463,Mcl1
mm_scATAC_peak_3840,Slc4a3
mm_scATAC_peak_128946,Abhd8
mm_scATAC_peak_113438,Exoc6b
mm_scATAC_peak_7605,Sec16b
mm_scATAC_peak_101627,Gm9899
mm_scATAC_peak_49344,8430426J06Rik
mm_scATAC_peak_128745,Nr2c2ap
mm_scATAC_peak_66969,Slc14a1
mm_scATAC_peak_97675,Trim63
mm_scATAC_peak_28277,Rdh14
mm_scATAC_peak_52260,Bfar
mm_scATAC_peak_107071,Gtf2h3
mm_scATAC_peak_113637,Asprv1
mm_scATAC_peak_73016,Gm13375
mm_scATAC_peak_2915,Cdk15
mm_scATAC_peak_133677,Zglp1
mm_scATAC_peak_62497,Msh2
mm_scATAC_peak_69744,Pten
mm_scATAC_peak_66448,Ldlrad4
mm_scATAC_peak_27247,Mir6933
mm_scATAC_peak_23154,Lgals9
mm_scATAC_peak_49230,Mgat3
mm_scATAC_peak_95947,Olfr1339
mm_scATAC_peak_51414,Zfp263
mm_scATAC_peak_137680,Bckdhb
mm_scATAC_peak_44147,Dmtn
mm_scATAC_peak_4147,Sphkap
mm_scATAC_peak_128456,Palld
mm_scATAC_peak_120386,Ccdc114
mm_scATAC_peak_135845,Trcg1
mm_scATAC_peak_139577,Ubp1
mm_scATAC_peak_59858,Esp36
mm_scATAC_peak_122167,Ints4
mm_scATAC_peak_12542,Dcbld1
mm_scATAC_peak_110438,Ptprz1
mm_scATAC_peak_94725,Gm12794
mm_scATAC_peak_66764,Ctif
mm_scATAC_peak_139130,Ccdc36
mm_scATAC_peak_38548,Mir682
mm_scATAC_peak_70741,Lbx1
mm_scATAC_peak_53202,Igf2bp2
mm_scATAC_peak_79115,Gpat2
mm_scATAC_peak_131963,Usp10
mm_scATAC_peak_72967,Etl4
mm_scATAC_peak_59708,H2-Bl
mm_scATAC_peak_74297,Prrc2b
mm_scATAC_peak_144041,Acsl4
mm_scATAC_peak_45278,4930524C18Rik
mm_scATAC_peak_40438,Nim1k
mm_scATAC_peak_40870,Atxn7
mm_scATAC_peak_134811,Pou2f3
mm_scATAC_peak_135872,Ppcdc
mm_scATAC_peak_123368,1700003G18Rik
mm_scATAC_peak_40071,Gm15290
mm_scATAC_peak_24828,D030028A08Rik
mm_scATAC_peak_116490,Aebp2
mm_scATAC_peak_46314,Tars
mm_scATAC_peak_80492,Rem1
mm_scATAC_peak_5030,Crocc2
mm_scATAC_peak_10627,Adgrg6
mm_scATAC_peak_95582,Pik3r3
mm_scATAC_peak_74784,Ttll11
mm_scATAC_peak_66092,Nars
mm_scATAC_peak_95613,Tmem69
mm_scATAC_peak_35288,Ripor2
mm_scATAC_peak_136476,Tipin
mm_scATAC_peak_75728,Itgb6
mm_scATAC_peak_64046,Tpgs2
mm_scATAC_peak_6631,Gm19705
mm_scATAC_peak_36014,Gm26688
mm_scATAC_peak_33163,Papola
mm_scATAC_peak_3842,Slc4a3
mm_scATAC_peak_37047,Mir6945
mm_scATAC_peak_20286,Btnl9
mm_scATAC_peak_109541,Gm21221
mm_scATAC_peak_116231,Gprc5a
mm_scATAC_peak_93302,Frrs1l
mm_scATAC_peak_108088,Cux1
mm_scATAC_peak_6822,B3galt2
mm_scATAC_peak_83903,Tbl1xr1
mm_scATAC_peak_14883,D10Wsu102e
mm_scATAC_peak_53532,Hes1
mm_scATAC_peak_53243,Etv5
mm_scATAC_peak_109328,Mtus2
mm_scATAC_peak_122460,Plekhb1
mm_scATAC_peak_51667,Ubn1
mm_scATAC_peak_133607,Ubl5
mm_scATAC_peak_106670,Rad9b
mm_scATAC_peak_14880,Slc41a2
mm_scATAC_peak_105609,Crybb3
mm_scATAC_peak_68893,D030056L22Rik
mm_scATAC_peak_88564,Gstm1
mm_scATAC_peak_10647,1700016L04Rik
mm_scATAC_peak_21382,Tnfrsf13b
mm_scATAC_peak_137004,Polr2m
mm_scATAC_peak_84676,4932438A13Rik
mm_scATAC_peak_18541,Sec61g
mm_scATAC_peak_45071,Lmo7
mm_scATAC_peak_22222,6330403K07Rik
mm_scATAC_peak_130261,Adgrg1
mm_scATAC_peak_67571,Tcirg1
mm_scATAC_peak_12913,Chst3
mm_scATAC_peak_104189,Sdad1
mm_scATAC_peak_63867,Garem1
mm_scATAC_peak_25328,Mir7116
mm_scATAC_peak_9074,Cnih3
mm_scATAC_peak_99074,2510039O18Rik
mm_scATAC_peak_52765,Arvcf
mm_scATAC_peak_15789,Mir3059
mm_scATAC_peak_131911,Adad2
mm_scATAC_peak_129121,Mir7068
mm_scATAC_peak_19629,Fgf18
mm_scATAC_peak_98739,Gm13128
mm_scATAC_peak_22603,Tlcd2
mm_scATAC_peak_41169,Ecd
mm_scATAC_peak_45642,1700108J01Rik
mm_scATAC_peak_104564,Sec31a
mm_scATAC_peak_81747,Pcif1
mm_scATAC_peak_73149,4931423N10Rik
mm_scATAC_peak_28377,Gm34637
mm_scATAC_peak_7298,Zfp648
mm_scATAC_peak_108175,Trim56
mm_scATAC_peak_32126,Mlh3
mm_scATAC_peak_98407,Rsg1
