cell	uniq_frags
12-16cell-98	2096.000000
12-16cell-99	1744.000000
2cell-1	10114.000000
2cell-10	14807.000000
2cell-100	65174.000000
2cell-101	62606.000000
2cell-102	83292.000000
2cell-103	64155.000000
2cell-104	138451.000000
2cell-105	78454.000000
2cell-106	71351.000000
2cell-107	62241.000000
2cell-108	94443.000000
2cell-109	98202.000000
2cell-11	1038.000000
2cell-110	59751.000000
2cell-111	47893.000000
2cell-112	51882.000000
2cell-113	40477.000000
2cell-114	83050.000000
2cell-115	75911.000000
2cell-116	80405.000000
2cell-117	389692.000000
2cell-118	585063.000000
2cell-119	322325.000000
2cell-12	25629.000000
2cell-120	224470.000000
2cell-121	3163.000000
2cell-122	323943.000000
2cell-123	480208.000000
2cell-124	3706.000000
2cell-125	311486.000000
2cell-126	636405.000000
2cell-127	511986.000000
2cell-128	515832.000000
2cell-129	841533.000000
2cell-13	10973.000000
2cell-130	629374.000000
2cell-131	522702.000000
2cell-132	213994.000000
2cell-133	598965.000000
2cell-134	556638.000000
2cell-135	474126.000000
2cell-136	377601.000000
2cell-137	226649.000000
2cell-138	254072.000000
2cell-139	335229.000000
2cell-14	16197.000000
2cell-140	381053.000000
2cell-141	231334.000000
2cell-142	421975.000000
2cell-143	215846.000000
2cell-144	309335.000000
2cell-145	209385.000000
2cell-146	138985.000000
2cell-147	224567.000000
2cell-148	208226.000000
2cell-149	242633.000000
2cell-15	16244.000000
2cell-150	92335.000000
2cell-151	376888.000000
2cell-152	2889.000000
2cell-153	346720.000000
2cell-154	102479.000000
2cell-155	354719.000000
2cell-156	330078.000000
2cell-157	397831.000000
2cell-158	163812.000000
2cell-159	356392.000000
2cell-16	8443.000000
2cell-160	427466.000000
2cell-161	275834.000000
2cell-162	259924.000000
2cell-163	277462.000000
2cell-164	344102.000000
2cell-165	415077.000000
2cell-166	265710.000000
2cell-167	13806.000000
2cell-168	432916.000000
2cell-169	284087.000000
2cell-17	14981.000000
2cell-170	418424.000000
2cell-171	406715.000000
2cell-172	387650.000000
2cell-173	201233.000000
2cell-174	341289.000000
2cell-175	17700.000000
2cell-176	12735.000000
2cell-177	15760.000000
2cell-178	14075.000000
2cell-179	26390.000000
2cell-18	10573.000000
2cell-180	17968.000000
2cell-181	19036.000000
2cell-182	22189.000000
2cell-183	17705.000000
2cell-184	13236.000000
2cell-185	20443.000000
2cell-186	18029.000000
2cell-187	22141.000000
2cell-188	32540.000000
2cell-189	19915.000000
2cell-19	21148.000000
2cell-190	11651.000000
2cell-191	20496.000000
2cell-192	16319.000000
2cell-193	17145.000000
2cell-194	21798.000000
2cell-195	10928.000000
2cell-196	5568.000000
2cell-197	5839.000000
2cell-198	3675.000000
2cell-199	4572.000000
2cell-2	1693.000000
2cell-20	11483.000000
2cell-200	16105.000000
2cell-201	5651.000000
2cell-202	9933.000000
2cell-203	10049.000000
2cell-204	5897.000000
2cell-205	7846.000000
2cell-206	10309.000000
2cell-207	8331.000000
2cell-208	81.000000
2cell-209	4963.000000
2cell-21	43901.000000
2cell-210	9795.000000
2cell-211	8261.000000
2cell-212	5935.000000
2cell-213	6386.000000
2cell-214	5109.000000
2cell-215	6629.000000
2cell-216	12950.000000
2cell-217	6378.000000
2cell-218	10212.000000
2cell-219	4715.000000
2cell-22	38108.000000
2cell-220	11495.000000
2cell-221	3575.000000
2cell-222	13692.000000
2cell-223	8091.000000
2cell-224	8958.000000
2cell-225	7193.000000
2cell-226	7236.000000
2cell-227	5424.000000
2cell-228	9677.000000
2cell-229	8504.000000
2cell-23	37464.000000
2cell-230	7728.000000
2cell-231	13947.000000
2cell-232	9136.000000
2cell-233	11227.000000
2cell-234	8022.000000
2cell-235	772.000000
2cell-236	8091.000000
2cell-237	10100.000000
2cell-238	5360.000000
2cell-239	3293.000000
2cell-24	47301.000000
2cell-240	4316.000000
2cell-241	4377.000000
2cell-242	5842.000000
2cell-243	9598.000000
2cell-244	2540.000000
2cell-245	5336.000000
2cell-25	38247.000000
2cell-26	49338.000000
2cell-27	50237.000000
2cell-28	52201.000000
2cell-29	22210.000000
2cell-3	6564.000000
2cell-30	42704.000000
2cell-31	63227.000000
2cell-32	22195.000000
2cell-33	42873.000000
2cell-34	60390.000000
2cell-35	32107.000000
2cell-36	39650.000000
2cell-37	100270.000000
2cell-38	207069.000000
2cell-39	308219.000000
2cell-4	17186.000000
2cell-40	49990.000000
2cell-41	295280.000000
2cell-42	182133.000000
2cell-43	106037.000000
2cell-44	1413.000000
2cell-45	315130.000000
2cell-46	2584.000000
2cell-47	298599.000000
2cell-48	294141.000000
2cell-49	340482.000000
2cell-5	8615.000000
2cell-50	103986.000000
2cell-51	318973.000000
2cell-52	7518.000000
2cell-53	4837.000000
2cell-54	4400.000000
2cell-55	5046.000000
2cell-56	5913.000000
2cell-57	5030.000000
2cell-58	2976.000000
2cell-59	5487.000000
2cell-6	10698.000000
2cell-60	4962.000000
2cell-61	5578.000000
2cell-62	7929.000000
2cell-63	6142.000000
2cell-64	3220.000000
2cell-65	3427.000000
2cell-66	4721.000000
2cell-67	5970.000000
2cell-68	6652.000000
2cell-69	3740.000000
2cell-7	9818.000000
2cell-70	6271.000000
2cell-71	1796.000000
2cell-72	609.000000
2cell-73	5407.000000
2cell-74	4464.000000
2cell-75	3605.000000
2cell-76	7273.000000
2cell-77	58181.000000
2cell-78	101626.000000
2cell-79	130413.000000
2cell-8	6942.000000
2cell-80	82020.000000
2cell-81	92331.000000
2cell-82	136922.000000
2cell-83	82262.000000
2cell-84	127332.000000
2cell-85	111485.000000
2cell-86	85835.000000
2cell-87	87979.000000
2cell-88	125311.000000
2cell-89	2346.000000
2cell-9	9557.000000
2cell-90	69969.000000
2cell-91	115594.000000
2cell-92	39015.000000
2cell-93	108861.000000
2cell-94	68811.000000
2cell-95	55800.000000
2cell-96	97530.000000
2cell-97	108957.000000
2cell-98	171290.000000
2cell-99	64516.000000
3-4cell-1	51998.000000
3-4cell-10	97887.000000
3-4cell-100	12548.000000
3-4cell-101	15410.000000
3-4cell-102	14234.000000
3-4cell-103	21319.000000
3-4cell-104	15616.000000
3-4cell-105	20421.000000
3-4cell-106	28761.000000
3-4cell-107	13038.000000
3-4cell-108	33438.000000
3-4cell-109	21095.000000
3-4cell-11	35327.000000
3-4cell-110	12363.000000
3-4cell-111	24908.000000
3-4cell-112	11541.000000
3-4cell-113	7111.000000
3-4cell-114	10849.000000
3-4cell-115	10374.000000
3-4cell-116	12982.000000
3-4cell-117	20293.000000
3-4cell-118	19608.000000
3-4cell-119	11786.000000
3-4cell-12	144403.000000
3-4cell-120	5469.000000
3-4cell-121	3332.000000
3-4cell-122	3282.000000
3-4cell-123	2545.000000
3-4cell-124	8310.000000
3-4cell-125	2802.000000
3-4cell-126	4690.000000
3-4cell-127	6014.000000
3-4cell-128	3198.000000
3-4cell-129	3261.000000
3-4cell-13	448505.000000
3-4cell-130	2949.000000
3-4cell-131	1431.000000
3-4cell-132	3655.000000
3-4cell-133	2193.000000
3-4cell-134	2565.000000
3-4cell-135	4175.000000
3-4cell-136	4339.000000
3-4cell-137	3393.000000
3-4cell-138	3050.000000
3-4cell-139	2222.000000
3-4cell-14	156074.000000
3-4cell-140	13198.000000
3-4cell-141	11333.000000
3-4cell-142	11522.000000
3-4cell-143	32711.000000
3-4cell-144	16872.000000
3-4cell-145	11915.000000
3-4cell-146	12225.000000
3-4cell-147	13499.000000
3-4cell-148	14375.000000
3-4cell-149	12691.000000
3-4cell-15	89665.000000
3-4cell-150	20929.000000
3-4cell-151	18311.000000
3-4cell-152	30599.000000
3-4cell-153	66703.000000
3-4cell-154	16475.000000
3-4cell-155	10777.000000
3-4cell-156	9993.000000
3-4cell-157	15192.000000
3-4cell-158	7862.000000
3-4cell-159	24840.000000
3-4cell-16	158582.000000
3-4cell-160	9983.000000
3-4cell-161	20285.000000
3-4cell-162	9667.000000
3-4cell-163	10169.000000
3-4cell-164	4179.000000
3-4cell-165	8028.000000
3-4cell-166	10141.000000
3-4cell-167	9690.000000
3-4cell-168	6790.000000
3-4cell-169	6211.000000
3-4cell-17	89780.000000
3-4cell-170	11411.000000
3-4cell-171	5699.000000
3-4cell-172	7807.000000
3-4cell-173	9892.000000
3-4cell-174	9353.000000
3-4cell-175	7318.000000
3-4cell-176	11932.000000
3-4cell-177	8126.000000
3-4cell-178	9211.000000
3-4cell-179	6520.000000
3-4cell-18	94189.000000
3-4cell-180	13329.000000
3-4cell-181	12349.000000
3-4cell-182	11521.000000
3-4cell-183	12370.000000
3-4cell-184	17909.000000
3-4cell-185	8634.000000
3-4cell-186	25872.000000
3-4cell-187	16570.000000
3-4cell-188	9843.000000
3-4cell-189	9277.000000
3-4cell-19	162554.000000
3-4cell-190	21576.000000
