Distance from Center (cmd=annotatePeaks.pl tss mm10 -size -5000,5000 -hist 10 -norm 1e6 -fragLength 1 -d TagDirectory/8cell)	TagDirectory/8cell Coverage	TagDirectory/8cell + Tags	TagDirectory/8cell - Tags
2470	0.131025110640754	6.04314989416975e-05	5.85914950933234e-05
2480	0.135402636136232	6.01308447181067e-05	6.1622089667116e-05
2490	0.136845776409467	6.05637868000771e-05	6.37627477390804e-05
2500	0.134849432364826	5.99263998460655e-05	6.26082355204929e-05
2510	0.13934721954974	6.19347700596502e-05	6.34981720223206e-05
2520	0.138204733500096	6.11530690783148e-05	6.29209159130269e-05
2530	0.13027948816625	5.99865306907834e-05	5.87839137964211e-05
2540	0.12958197036752	6.28728112372525e-05	5.56691360400235e-05
2550	0.128728112372523	5.68958052722728e-05	5.95054839330385e-05
2560	0.135053877236867	6.07802578410622e-05	6.22354242832408e-05
2570	0.132167596690398	5.83750240523381e-05	6.35462766980951e-05
2580	0.13210746584568	5.81826053492402e-05	5.98301904945164e-05
2590	0.137675582066577	6.22354242832406e-05	6.35342505291518e-05
2600	0.135739368866654	6.31013084471812e-05	6.05517606311335e-05
2610	0.136665383875313	6.44121608620362e-05	6.08403886857803e-05
2620	0.132624591110256	6.02030017317685e-05	6.01308447181069e-05
2630	0.131999230325188	6.05878391379643e-05	5.94453530883204e-05
2640	0.135835578218203	6.03593419280356e-05	6.41475851452763e-05
2650	0.130784587261882	5.96618241293055e-05	5.85193380796617e-05
2660	0.129654127381181	5.76414277467772e-05	5.96979026361366e-05
2670	0.133694920146238	5.74610352126229e-05	6.48330767750627e-05
2680	0.140128920531076	6.4219742158938e-05	6.30050990956324e-05
2690	0.133935443525111	5.88680969790268e-05	6.28006542235908e-05
2700	0.139515585914951	6.3365884163941e-05	6.38349047527423e-05
2710	0.130664325572446	6.16100634981723e-05	5.76895324225516e-05
2720	0.137423032518761	6.09245718683858e-05	6.42918991725998e-05
2730	0.135510871656725	6.21512411006353e-05	6.15379064845107e-05
2740	0.136003944583413	6.29209159130271e-05	5.96858764671928e-05
2750	0.134488647296517	5.97099288050801e-05	6.23196074658459e-05
2760	0.135126034250529	6.11530690783146e-05	6.24879738310565e-05
2770	0.139311141042909	6.25721570136618e-05	6.42918991725995e-05
2780	0.128475562824707	5.78699249567063e-05	5.81465268424093e-05
2790	0.132347989224553	6.25962093515493e-05	5.79420819703678e-05
2800	0.13041177602463	6.01067923802197e-05	5.76173754088899e-05
2810	0.131205503174909	5.8411102559169e-05	6.01067923802199e-05
2820	0.128944583413508	5.95656147777566e-05	5.76053492399463e-05
2830	0.131169424668078	6.18866653838755e-05	5.77496632672697e-05
2840	0.128824321724072	5.84712334038871e-05	5.8567442755436e-05
2850	0.133009428516452	5.86877044448722e-05	6.11169905714837e-05
2860	0.135210217433134	6.05878391379646e-05	6.26202616894364e-05
2870	0.134873484702713	5.9397248412546e-05	6.25962093515492e-05
2880	0.135222243602078	5.84952857417744e-05	6.34019626707718e-05
2890	0.126912160862036	5.71964594958632e-05	5.83750240523382e-05
2900	0.129654127381181	5.83870502212818e-05	5.97460073119109e-05
2910	0.136088127766019	6.19588223975375e-05	6.21993457764097e-05
2920	0.137892053107562	6.24879738310565e-05	6.28006542235907e-05
2930	0.130507985376179	5.98542428324036e-05	6.01188185491633e-05
2940	0.135126034250529	6.09967288820476e-05	6.05637868000771e-05
2950	0.132696748123918	5.98061381566293e-05	6.15138541466232e-05
2960	0.127116605734077	5.71122763132581e-05	5.91206465268427e-05
2970	0.131590340581104	5.95175101019823e-05	6.0696074658457e-05
2980	0.132684721954974	6.34019626707717e-05	5.78458726188189e-05
2990	0.135931787569752	6.43760823552052e-05	5.9301039060997e-05
3000	0.137398980180874	6.26924187030982e-05	6.26803925341546e-05
3010	0.134620935154897	6.24518953242259e-05	6.07441793342316e-05
3020	0.142341735616702	6.28607850683088e-05	6.59755628247065e-05
3030	0.132528381758707	6.04074466038101e-05	5.98301904945164e-05
3040	0.136701462382144	6.22715027900715e-05	6.09486242062732e-05
3050	0.134103809890321	6.02871849143741e-05	6.10448335578219e-05
3060	0.133033480854339	6.21392149316916e-05	5.91206465268428e-05
3070	0.129269289974986	5.8976332499519e-05	5.90484895131808e-05
3080	0.127429286126612	5.85073119107178e-05	5.70401192995962e-05
3090	0.13420001924187	5.89402539926885e-05	6.19708485664811e-05
3100	0.134476621127574	6.08524148547242e-05	6.20069270733117e-05
3110	0.130399749855686	6.0419472772754e-05	5.98181643255726e-05
3120	0.124939869155282	5.83870502212817e-05	5.59818164325576e-05
3130	0.131373869540119	6.05036559553593e-05	5.98422166634598e-05
3140	0.131013084471811	6.04314989416973e-05	5.88921493169141e-05
3150	0.135751395035597	6.48691552818937e-05	5.88801231479701e-05
3160	0.139299114873966	6.31614392918995e-05	6.15018279776796e-05
3170	0.134055705214547	6.02631325764868e-05	6.12372522609203e-05
3180	0.134296228593419	6.01428708870505e-05	6.13214354435254e-05
3190	0.128908504906677	5.88801231479704e-05	5.87718876274775e-05
3200	0.136857802578411	6.05998653069083e-05	6.29088897440833e-05
3210	0.139756109293823	6.31614392918995e-05	6.47248412545703e-05
3220	0.139503559746007	6.02270540696559e-05	6.62882432172412e-05
3230	0.134885510871657	6.09125456994422e-05	6.13094092745817e-05
3240	0.13682172407158	6.24398691552821e-05	6.04074466038107e-05
3250	0.134801327689051	6.15138541466236e-05	6.14537233019054e-05
3260	0.137314796998268	5.7713584760439e-05	6.6829420819704e-05
3270	0.132925245333846	5.8699730613816e-05	6.23556859726768e-05
3280	0.133213873388493	6.03954204348665e-05	6.10328073888785e-05
3290	0.132444198576102	5.99745045218401e-05	6.0852414854724e-05
3300	0.130471906869348	5.79420819703679e-05	5.95054839330385e-05
3310	0.130544063883009	6.13575139503563e-05	5.80142389840298e-05
3320	0.133310082740042	6.15379064845106e-05	5.96377717914185e-05
3330	0.129918703097941	5.63305753319225e-05	6.08043101789498e-05
3340	0.133249951895324	6.04796036174718e-05	6.10207812199349e-05
3350	0.12918510679238	5.68837791033291e-05	5.98782951702911e-05
3360	0.129221185299211	5.9024437175294e-05	5.85554165864925e-05
3370	0.133755050990956	6.13094092745819e-05	5.9962478352896e-05
3380	0.137675582066577	6.41355589763326e-05	6.11290167404274e-05
3390	0.135438714643063	6.33658841639409e-05	6.09125456994422e-05
